word,doc
dignitas,Latin.docx
diminutio,Latin.docx
dimitto,Latin.docx
directum,Latin.docx
dis,Latin.docx
discedo,Latin.docx
discooperio,Latin.docx
discretio,Latin.docx
distribuo,Latin.docx
districtus,Latin.docx
distringo,Latin.docx
diversus,Latin.docx
domina,Latin.docx
dominium,Latin.docx
domo,Latin.docx
domus,Latin.docx
donator,Latin.docx
donec,Latin.docx
dono,Latin.docx
donum,Latin.docx
dos,Latin.docx
ducenti,Latin.docx
duco,Latin.docx
dum,Latin.docx
duo,Latin.docx
duplum,Latin.docx
ecclesia,Latin.docx
edo,Latin.docx
educo,Latin.docx
effectus,Latin.docx
efficio,Latin.docx
ejectus,Latin.docx
ejicio,Latin.docx
electa,Latin.docx
electo,Latin.docx
electus,Latin.docx
emendatus,Latin.docx
emendo,Latin.docx
emo,Latin.docx
episcopatus,Latin.docx
episcopus,Latin.docx
equa,Latin.docx
equidem,Latin.docx
equito,Latin.docx
equus,Latin.docx
erus,Latin.docx
esse,Latin.docx
etiam,Latin.docx
euangelium,Latin.docx
euenio,Latin.docx
evulsio,Latin.docx
examen,Latin.docx
excepto,Latin.docx
excipio,Latin.docx
exeo,Latin.docx
exheredatio,Latin.docx
exheredo,Latin.docx
exigo,Latin.docx
exinde,Latin.docx
exorior,Latin.docx
expecto,Latin.docx
expio,Latin.docx
exsisto,Latin.docx
exspecto,Latin.docx
extimo,Latin.docx
facies,Latin.docx
facio,Latin.docx
factum,Latin.docx
factus,Latin.docx
facultas,Latin.docx
fallo,Latin.docx
falso,Latin.docx
familia,Latin.docx
fatigatio,Latin.docx
fatigo,Latin.docx
ferio,Latin.docx
fero,Latin.docx
ferris,Latin.docx
fex,Latin.docx
fidelis,Latin.docx
fidelitas,Latin.docx
fides,Latin.docx
fido,Latin.docx
filia,Latin.docx
filius,Latin.docx
finis,Latin.docx
fio,Latin.docx
firmamentum,Latin.docx
firme,Latin.docx
firmitas,Latin.docx
firmiter,Latin.docx
firmo,Latin.docx
fluo,Latin.docx
fons,Latin.docx
foro,Latin.docx
fortitudo,Latin.docx
fractus,Latin.docx
frango,Latin.docx
frater,Latin.docx
fraudulentus,Latin.docx
frigida,Latin.docx
frigidus,Latin.docx
fructus,Latin.docx
frumo,Latin.docx
fuga,Latin.docx
fundo,Latin.docx
fustis,Latin.docx
genu,Latin.docx
gigno,Latin.docx
gladius,Latin.docx
grates,Latin.docx
gratus,Latin.docx
graue,Latin.docx
gravis,Latin.docx
graviter,Latin.docx
guberno,Latin.docx
habeo,Latin.docx
habitator,Latin.docx
hereditas,Latin.docx
heredito,Latin.docx
heres,Latin.docx
hic,Latin.docx
homicida,Latin.docx
homicidium,Latin.docx
homo,Latin.docx
honestum,Latin.docx
honorifice,Latin.docx
hora,Latin.docx
hostis,Latin.docx
hujusmodi,Latin.docx
iacio,Latin.docx
ianua,Latin.docx
ibi,Latin.docx
icio,Latin.docx
idem,Latin.docx
ideo,Latin.docx
igitur,Latin.docx
ignis,Latin.docx
ignobilis,Latin.docx
ilico,Latin.docx
ille,Latin.docx
immobilis,Latin.docx
immunis,Latin.docx
impedio,Latin.docx
impello,Latin.docx
impendo,Latin.docx
impius,Latin.docx
impleo,Latin.docx
incido,Latin.docx
incipio,Latin.docx
inconvulsus,Latin.docx
index,Latin.docx
indicium,Latin.docx
indico,Latin.docx
indignor,Latin.docx
indo,Latin.docx
indubius,Latin.docx
infans,Latin.docx
inferior,Latin.docx
infra,Latin.docx
ingenium,Latin.docx
inimicus,Latin.docx
injuste,Latin.docx
insero,Latin.docx
instituo,Latin.docx
insupo,Latin.docx
intactus,Latin.docx
