0
Aaron
Abba
Abel
Abias
Abiathar
Abilina
Abraham
Achaz
Adam
Aegyptus
Aenos
Agonius
Agricola
Alba
Alexander
Alphaeus
Alpheos
Aminadab
Andreas
Anna
Annius
Aquila
Aquilo
Archelaus
Arimathaea
Arimathia
Asellus
Asina
Asinaria
Asum
Augustus
Babylon
Barabbas
Barachias
Bartholomaeus
Beelzebub
Beelzebul
Bestia
Bethania
Bethleem
Bethlehem
Bethphage
Bethsaida
Boanerges
Booz
Caecus
Caelius
Caesar
Caesarea
Cainan
Caiphas
Canis
Capharnaum
Carna
Carus
Cedron
Certis
Chananaeus
Christus
Circa
Claudius
Cleophas
Consus
Cora
Corona
Coros
Corozain
Corvus
Cos
Cosa
Crastinus
Cyrenaeus
Cyrenensis
Cyrinus
DII
Daemon
Daemones
Dalmanutha
Daniel
Dauid
Decapolis
Didymus
Dominus
Egus
Eleazar
Eliezer
Elisabeth
Elius
Emmanuel
Emmaus
Enoch
Esaias
Ezechias
Festus
Figulus
Flamma
Folia
Furor
Gabbatha
Galilaea
Galilaei
Galilaeus
Galli
Gallina
Gallus
Geraseni
Gethsemani
Golgotha
Graeci
Graecus
Gratia
Gutta
Hebraice
Hebraicus
Helias
Helius
Her
Herius
Herodes
Herodiani
Herodias
Hierosolyma
Hierosolymita
Honor
Iacob
Iacobus
Iairus
Iechonias
Ieremias
Iericho
Ierosolyma
Ierusalem
Iesus
Ioatham
Ion
Ionas
Iosaphat
Ioseph
Iosias
Isaac
Isaias
Iscariotes
Israel
Israhel
Iuda
Jesse
Joanna
Joannes
Johannes
Jordanes
Judaea
Judaei
Judaeus
Justus
Latina
Latinus
Lazarus
Leuita
Libera
Linos
Lithostrotos
Locusta
Lot
Luca
Lucus
Luna
Lupus
Luscus
Lysanias
Magdalene
Magius
Magnus
Manasse
Manes
Marcus
Maria
Martha
Mathusala
Matthaeus
Mattheus
Medicus
Melea
Messia
Metus
Mors
Moses
Moyses
Naasson
Naim
Nathan
Naua
Nazaraeus
Nazarenus
Nazareth
Nephthali
Nicodemus
Niger
Ninivitae
Nisus
Noe
Novellus
Obed
Olus
Onus
Ora
Ostia
Ozias
Pan
Paradisus
Pastor
Pauor
Pecunia
Petrus
Pharis
Pharisaei
Pharisaeus
Philippi
Philippus
Pilatus
Pontius
Porcius
Potentia
Primus
Pseudochristus
Rachel
Rapax
Regina
Regulus
Rex
Roboam
Romani
Ruth
Sacerdos
Sadducaei
Salathiel
Salome
Salomon
Salus
Samaria
Samaritanus
Satanas
Secundus
Sem
Semei
Sermo
Seth
Sex
Sido
Sidonius
Siloa
Simo
Simon
Simplex
Sinis
Sodoma
Sodomi
Sol
Soli
Spelunca
Stella
Superbus
Susanna
Syria
Syrophoenissa
Syrus
Tauri
Tecta
Tecum
Terminus
Terra
Tertia
Thaddaeus
Thamar
Theophilus
Thomas
Thronum
Tiberias
Tiberius
Trachonitis
Turris
Tyres
Tyros
Uada
Uaria
Ubii
Uerus
Uetus
Uica
Uinius
Umber
Uria
Verax
Victoria
Zabulon
Zachaeus
Zacharias
Zara
Zebedaeus
Zorobabel
abeo
abnego
abominatio
abscido
absconditus
abscondo
absque
absum
abundans
abundo
abyssus
accedo
accendo
accepto
acceptum
acceptus
accerso
accido
accipio
accubo
accumbo
accurro
accusatio
accuso
aceo
acetum
acquiro
actum
actus
acus
adaperio
adaquo
adaugeo
addo
adduco
adeo
adfectus
adfero
adficio
adfirmo
adfligo
adfor
adhaereo
adhibeo
adhuc
adicio
adimpleo
adjicio
adjudico
adjuro
adjuvo
adlido
adligo
admiror
admitto
admoneo
adnuntio
adolescentior
adolesco
adorator
adoro
adripio
adsequor
adsimilo
adsisto
adsto
adsum
adsumo
adsumptio
adsuo
adtendo
adulescens
adulter
adultera
adulterium
adultero
advenio
adversarius
adversus
advesperasco
advoco
advolvo
aedes
aedificatio
aedifico
aegrotatio
aegrotus
aequalis
aer
aeramentum
aerugo
aerumna
aes
aestas
aestimo
aestuo
aestus
aetas
aeterno
aeternus
ager
agitatus
agnosco
agnus
ago
ajo
ala
alabaster
alapa
album
albus
alienigena
alieno
alienum
alioquin
aliquando
aliqui
aliquis
aliud
alium
aliunde
alius
alo
aloe
alter
alteruter
altilis
altitudo
alto
altus
ambo
ambulo
amen
amica
amice
amicio
amicus
amo
amodo
amoueo
amphora
ample
amputo
anathematizo
ancilla
anethum
angario
angelus
angulus
angusto
angustus
anima
animaequus
annulus
annuntio
annuo
annus
antea
antecedo
antequam
antes
antiqui
aperio
apex
apiscor
apostola
apostoli
apostolus
appareo
